Rank,ASIN,Image URL,Title,Best Seller Ranks,Currency,Price,Review Rating,Review Count,In-Stock,Purchase Limits,Feature Points,Brand,Seller,Store,Offers,Product Dimensions,Product Weight,Shipping Weight,Published At,FBA,Prime,Sponsored
16,B07W3PJ2F1,https://m.media-amazon.com/images/I/51SirqYwdvL._AC_UL320_.jpg,"Lindby Deckenlampe Glas, Holz, Deckenstrahler schwenkbar und drehbar, 3x E14 max. 5W, ohne Leuchtmittel, Deckenleuchte, Deckenspot, Spot, Strahler","Beleuchtung: 45123
Spotbalken: 73",EUR,70.8,4.1,22.0,,,"DREH- UND SCHWENKBAR: Licht dort, wo du es brauchst! Unsere runde Deckenleuchte hat 3 drehbar und schwenkbare Spots. Die Lampenköpfe aus Holz und marmoriertem Glas sorgen für eine tolle, flexible Beleuchtung in deinen 4 Wänden.

SKANDINAVISCHES DESIGN zum Wohlfühlen! Unser Decken-Strahler bringt nordische Gemütlichkeit in deine Wohnung. Gestell in edlem Silber mit angesagten Lampenschirmen in Holz und weißem Glas. Super auch in Kinderzimmer oder Diele!

LIEFERUMFANG: 1x Deckenlampe Glas weiß, Metall, Holz hell, Spots dreh- und schwenkbar, 3x E14 max. 5W pro Leuchtmittel, Leuchtmittel nicht im Lieferumfang, 47 x 10 x 18,6 cm(LxBxH), Durchmesser Ø Schirm 5 cm. Ideal auch als Wohnzimmerlampe.

3x E14 MAX. 5W (LEUCHTMITTEL NICHT INKLUSIVE): Unser Spot Strahler besitzt 3 Fassungen E14 für max. 5W pro Leuchtmittel. Diese kannst du jederzeit austauschen – ganz einfach, schnell, flexibel. Unser Tipp: Nutze moderne LED. Spart Strom und Geld!

HARMONISCH EINRICHTEN mit unserem angesagten Glas Deckenspot! Passt perfekt zum Skandi Look, Landhaus Stil oder modernen Look. Ideal für Wohnzimmer, Esszimmer, Flur und Büro. Auch super als Allgemeinbeleuchtung im Schlafzimmer.",Lindby,Lampenwelt,Besuche den Lindby,,47 x 10 x 18.6 cm,870 g,,2019-08-05,0.0,0.0,True
17,B0BLHBLS12,https://m.media-amazon.com/images/I/613DKrSyKZL._AC_UL320_.jpg,KYOTECH LED Aufbauspot Flach 230V Ø84x80mm drehbar und schwenkbar Schwarz Deckenleuchte Aufputz inkl. 6W GX53 Leuchtmittel Warmweiß 3000K 550LM Aufbaustrahler mit großer Leuchtfläche Spotleuchte,"Beleuchtung: 9988
Deckenspots: 247",EUR,23.99,4.7,11.0,,,"【Einfach zu installieren】-Diese Aufbau-Fassung kann als optimale Alternative für Einbau-Spots sein. Vor allem wenn nicht ausreichend Platz vorhanden ist.Dank dem 230V Anschluss benötigt man auch keinen Trafo. Breite: 84mm, Höhe: 80mm. Ultradünne,kompakte Größe, Platz sparen.

【Drehbar und Schwenkbar】-Die Aufbauspot sind dreh- und schwenkbar und lassen sich in jede Richtung verstellen, so dass Sie die gewünschte Stelle Ihres Raumes beleuchten können. Eine optimale Beleuchtung für Ihre Räume dank schwenkbarem und drehbarem Lampenkopf.Optimal geeignet als Esszimmerlicht oder Schlafzimmerleuchte.

【GX53 Lichtquelle Tauschbar】--Diese LED deckenleuchte aufputz verwendet hochwertige GX53 Leuchtmitte.GX53 LED Lampe warmweiß.Kein Flackern bzw.kein Stroboskope-Effekt.Dieses GX53 Leuchtmittel muss seltener ausgewechselt werden und verringert so die Wartungskosten. Keine Einschaltverzögerung, kein Piepen, kein Flackern.

【Stabilität】-Diese runde LED deckenleuchte aufputz der Rahmen hat eine dicke Aluminiumplatte , die Oberfläche wurde mechanisch eingesprüht, es hat gute Wärmeleitfähigkeit und kann Lichtausfall effektiv steuern, und stellt die Stabilität der LED-Lampen sicher.Ein Farbwiedergabewert von CRI>80 verspricht natürliche Farben direkt nach dem Einschalten.Geringer Verbrauch bei wohlig warmen Licht durch eine Farbtemperatur von 3.000 Kelvin.

【Einfache Installation】-Die Aufbauspot hat ein einfaches Design und kann einfach durch Anschließen der Drähte und Anziehen der Schrauben installiert werden. Mit einer langen Lebensdauer von 30000 Stunden erspart Ihnen diese Aufbauspot den häufigen Austausch.",KYOTECH,KYOTECH Light,Besuche den KYOTECH,,9l x 9b x 8h cm,350 g,,2022-11-04,0.0,0.0,True
18,B08N3YTP1F,https://m.media-amazon.com/images/I/61hxDLyKHiS._AC_UL320_.jpg,KYOTECH LED Aufbauspot Flach 230V Schwenkbar Ø80x50mm Downlight aufputz inkl. 5W LED Modul Deckenleuchte Aufputz Warmweiß 3000K 400LM LED Aufputz Spotleuchte Rund Schwarz Gebürstet 4er Set,"Beleuchtung: 32294
Deckenspots: 799",EUR,77.99,4.7,145.0,,,"【EINFACH ZU INSTALLIEREN】-Diese Aufbau-Fassung kann als optimale Alternative für Einbau-Spots sein. Vor allem wenn nicht ausreichend Platz vorhanden ist.Dank dem 230V Anschluss benötigt man auch keinen Trafo. Höhe: 80 mm, Breite: 50 mm. Ultradünne,kompakte Größe, Platz sparen.Für 1 Stück ,Sie bitte nach ASIN: B088KDJCV4.

【LED MODUL TAUSCHBAR】-Diese LED Aufputz Deckenleuchte ist eine Kombination aus Aufputz Spotleuchte und LED Modul Leuchtmittel.Dank des wechselbaren LED Modul ist es umweltfreundlich, die Leuchtmittel ohne Ersetzung des kompletten Set auszutauschen.

【SCHWENKBAR】-Nutzen Sie die Strahler als schlichte Beleuchtung oder richten Sie mit dem 30° Schwenkwinkel den Lichtfokus gezielt auf einzelne Objekte oder Bereiche im Raum.Geeignet für Schlafzimmer, Küchen, Restaurants, Geschäftund Büro.

【BREITE ANWENDBARKEIT】-Extra Flach & ein schlichtes Design verbunden mit dem mitgelieferten LED Modul,perfekt in Ihren Flur, Diele, Deckenleuchte, Wohnzimmer, Schlafzimmer oder Ihre Küche.Gerade mehrere Spotleuchten nebeneinander ergeben ein wunderschönes Beleuchtungsbild.

【HOHE QUALITÄTSGARANTIE】-Ein Farbwiedergabewert von CRI>80 verspricht natürliche Farben direkt nach dem Einschalten.Geringer Verbrauch bei wohlig warmen Licht durch eine Farbtemperatur von 3.000 Kelvin.Verhältnis-Hergestellt aus hochwertigem Aluminiummaterial, hochwertiger Wärmeableitungseffekt, verlängert die Lebensdauer von Aufbauleuchte Aufbaustrahler.",KYOTECH,KYOTECH Light,Besuche den KYOTECH,,25.5 x 20.9 x 9.4 cm,880 g,,2020-11-10,0.0,1.0,False
19,B07X5Y5VQT,https://m.media-amazon.com/images/I/61+ZXhYXh1L._AC_UL320_.jpg,"Briloner Leuchten - Spotleuchte, Deckenspot 2-flammig, Retro/Vintage, Spotköpfe dreh- und schwenkbar, 2x E27, max. 60W, Metall, Schwarz","Beleuchtung: 22740
Deckenspots: 563",EUR,19.95,4.4,225.0,,,"Diese schwarze 2-flammige Spotleuchte in ihrem schlichten retro/vintage Design fügt sich optimal in alle Räumlichkeiten ein und wird schnell zu einem Blickfang

Durch die dreh- und schwenkbaren Spotköpfe lässt sich das Licht individuell steuern - die Deckenlampe ist zudem vielseitig einsetzbar, z.B. als Wohnzimmerlampe oder Schlafzimmerlampe

Die maximale Wattage beträgt 60 Watt (E27-Fassung) - das Leuchtmittel ist im Lieferumfang nicht enthalten

Die Deckenleuchte besitzt die Schutzart IP20 und ist ausschließlich für den Einsatz im Innenbereich vorgesehen

Produktabmessungen: 275x180x105mm (LxBxH)",BRILONER,Nordlicht,Besuche den BRILONER,,27.5 x 18 x 10.5 cm,390 gramm,,2019-08-27,0.0,0.0,False
20,B084H3BSMP,https://m.media-amazon.com/images/I/81E2T4uF-VL._AC_UL320_.jpg,B.K.Licht - LED Einbaustrahler 6er Set - spritzwassergeschützte LED Spots - dimmbar - ultra flach 25mm - Bad geeignet,"Beleuchtung: 1859
Einbauleuchten für das Bad: 6
Deckenspots: 41",EUR,44.99,3.9,797.0,,,"NICHT NUR FÜRS BAD - Dank IP44 Spritzwasserschutz eignen sich unsere LED Einbauleuchten hervorragend für Ihr Badezimmer. Doch auch in anderen Räumen machen unsere Spots eine gute Figur

INTELLIGENT - Unsere LED Deckenspots mit eingebauten Transformator haben eine geringe Einbautiefe von nur 30mm. Der benötigte Deckenausschnitt beträgt Ø68mm. Die Montage wird somit kinderleicht

VIELSEITIGE MÖGLICHKEITEN - Mit diesen Badezimmer Spots können Sie nicht nur Ihr Bad verschönern, sondern auch Ihr Wohnzimmer, Schlafzimmer, Küche, Büro oder Flur. Ein echter Alleskönner

EFFIZIENT - Durch 3.000 Kelvin und 480 Lumen erhellen unsere dimmbaren LED Decken Spots jedes Zimmer mit warmweißem LED Licht und das bei einem Verbrauch von 5 Watt pro Spot

RIESIGE AUSWAHL - Diese LED Einbaustrahler sind nur der Anfang. Wir bieten Ihnen eine riesige Auswahl an verschiedenen Einbauleuchten, Einbaurahmen und Leuchtmittel. Werfen Sie einen Blick in unser spannendes Produktportfolio

Bei diesem Produkt handelt es sich um ein umgebendes Produkt. Umgebende Produkte sind Leuchten, die zur separaten Überprüfung der enthaltenen Lichtquelle(n) zerlegt werden können.",B.K.Licht,B.K.Licht,Besuche den B.K.Licht,,9 x 9 x 2.5 cm,360 g,,2020-02-02,1.0,1.0,False
21,B08D9D2M8P,https://m.media-amazon.com/images/I/617p+QmIFjL._AC_UL320_.jpg,"BRILONER Leuchten - Spotleuchte, Wandspot, Wandleuchte retro, vintage, Spot dreh- und schwenkbar, 1x GU10, Metall-Holz, Schwarz, 90x120mm (DxA)","Beleuchtung: 5954
Wandspots: 17",EUR,14.95,4.3,88.0,,,"Diese schwarze 1-flammige Spotlampe in ihrem schlichten retro/vintage Design fügt sich optimal in alle Räumlichkeiten ein und wird durch die schwarze, edle Optik in Kombination mit der Holzbasis schnell zu einem Blickfang

Durch den dreh- und schwenkbaren Spotkopf lässt sich das Licht individuell steuern - der Wandspot ist zudem vielseitig einsetzbar, z.B. als Wohnzimmerlampe, Schlafzimmerlampe oder Nachttischlampe

Die Wandlampe verfügt über eine GU10 Fassung - das Leuchtmittel ist nicht im Lieferumfang enthalten

Die Wandleuchte besitzt die Schutzart IP20 und ist ausschließlich für den Einsatz im Innenbereich vorgesehen

Produktabmessungen: 90x120mm (DxA)",BRILONER,,Besuche den BRILONER,,9 x 9 x 12 cm,220 gramm,,2020-07-20,,0.0,False
22,B08GCMLSFQ,https://m.media-amazon.com/images/I/61A1KaHQAoL._AC_UL320_.jpg,"BRILONER Leuchten - Spotleuchte, Wandspot, Wandleuchte retro, vintage, Spot dreh- und schwenkbar, 1x E27, Metall-Holz, Farbe: Gunmetal, 100x103x90mm (LxBxA)","Beleuchtung: 12518
Wandleuchten: 421",EUR,21.92,4.5,343.0,,,"Diese gunmetalfarbene 1-flammige Spotlampe in ihrem schlichten retro/vintage Design fügt sich optimal in alle Räumlichkeiten ein und wird durch die gunmetalfarbene Optik in Kombination mit der Holzbasis schnell zu einem Blickfang

Durch den dreh- und schwenkbaren Spotkopf lässt sich das Licht individuell steuern - der Wandspot ist zudem vielseitig einsetzbar, z.B. als Wohnzimmerlampe, Schlafzimmerlampe oder Nachttischlampe

Die Wandlampe verfügt über eine E27 Fassung für ein Leuchtmittel mit max. 25 Watt - das Leuchtmittel ist nicht im Lieferumfang enthalten

Die Wandleuchte besitzt die Schutzart IP20 und ist ausschließlich für den Einsatz im Innenbereich vorgesehen

Produktabmessungen: 100x103x90mm (LxBxA)",BRILONER,,Besuche den BRILONER,,10 x 10.3 x 9 cm,400 gramm,,2020-08-20,,0.0,False
23,B09KGH849W,https://m.media-amazon.com/images/I/617fGtXdTdL._AC_UL320_.jpg,"BRILONER Leuchten - Spotleuchte, Deckenspot mit Sternendekor, Deckenleuchte, Spotköpfe dreh- und schwenkbar, 3x E27. je max. 25 Watt, Grau-Schwarz, 475x130x155mm (max. 259mm) (LxBxH)","Beleuchtung: 5568
Deckenspots: 131
Deckenleuchten: 400",EUR,58.71,4.3,144.0,4.0,0.0,"Diese grau-schwarze, 3-flammige Spotlampe, gefertigt aus Stoff-Metall, fügt sich optimal in alle Räumlichkeiten ein und wird durch das Sternenhimmel-Design (viele kleine Leuchtioden die zusätzlich zum Vorschein kommen, keine Projektion) in Kombination mit der schwarzen Basis schnell zu einem Blickfang

Durch die dreh- und schwenkbaren Spotköpfe lässt sich das Licht individuell steuern - der Spot ist zudem vielseitig einsetzbar, z.B. als Kinderzimmerlampe, Schlafzimmerlampe oder Wohnzimmerlampe

Die Deckenleuchte verfügt über drei E27-Fassungen für Leuchtmittel mit max. 25 Watt - die Leuchtmittel sind nicht im Lieferumfang enthalten

Der Deckenspot besitzt die Schutzart IP20 und ist ausschließlich für den Einsatz im Innenbereich vorgesehen

Produktabmessungen: 475x130x155mm (max. 259mm) (LxBxH)

Kein Leuchtmittel im Lieferumfang enthalten",BRILONER,Nordlicht,Besuche den BRILONER,,47.5 x 13 x 25.9 cm,920 gramm,,2021-10-27,0.0,1.0,False
24,B07YVP53N3,https://m.media-amazon.com/images/I/71kPmNQMoXL._AC_UL320_.jpg,"Philips Hue White & Color Ambiance Fugato Spot 1 flg. schwarz 1x350lm, dimmbar, 16 Mio. Farben, steuerbar via App, kompatibel mit Amazon Alexa (Echo, Echo Dot)","Beleuchtung: 6916
Deckenspots: 161",EUR,84.99,4.7,62.0,,,"Moderne Spotbeleuchtung: Die Fugato passt in jedes Interieur und setzt direkte und indirekte Lichtelemente - Steuerbar per Bridge und Bluetoot

Personalisierte Beleuchtung: Wählen Sie aus Millionen von Farben und Weißtönen, um die Stimmung in Ihrem Zuhause individuell anpassen zu können

Dekorative Spot-Beleuchtung: Für ein gemütliches Ambiente im Wohnbereich ist die Fugato Spotleuchte ausgestattet mit einem designvollen Leuchtring

Bei diesem Produkt handelt es sich um ein umgebendes Produkt. Umgebende Produkte sind Leuchten, die zur separaten Überprüfung der enthaltenen Lichtquelle(n) zerlegt werden können. Dieses Produkt enthaelt eine Lichtquelle der Energieeffizienzklasse G

Für das volle Smart Home Erlebnis zuhause: Entdecken Sie viele weitere Funktionen mit der Hue Bridge und koppeln sie bis zu 50 Lampen und Leuchten",Philips Hue,"Verkauf durch Amazon Warehouse und Versand durch Amazon. Für weitere Informationen, Impressum, AGB und Widerrufsrecht klicken Sie bitte auf den Verkäufernamen.",Besuche den Philips Hue,,8.2 x 8.2 x 15.3 cm,470 g,,2019-09-06,1.0,1.0,False
25,B088JZCSS9,https://m.media-amazon.com/images/I/51X89P7tQHS._AC_UL320_.jpg,KYOTECH LED Aufputz Deckenleuchte Flach 230V Schwenkbar Ø80x50mm Downlight inkl. 5W LED Modul Aufbauspot Warmweiß 3000K 400LM LED Aufputz Spotleuchte Rund Silber Gebürstet,"Beleuchtung: 8742
Deckenspots: 207",EUR,19.99,4.6,400.0,,,"【EINFACH ZU INSTALLIEREN】-Diese Aufbau-Fassung kann als optimale Alternative für Einbau-Spots sein. Vor allem wenn nicht ausreichend Platz vorhanden ist.Dank dem 230V Anschluss benötigt man auch keinen Trafo. Höhe: 80 mm, Breite: 50 mm. Ultradünne,kompakte Größe, Platz sparen.

【LED MODUL TAUSCHBAR】-Diese LED Aufputz Deckenleuchte ist eine Kombination aus Aufputz Spotleuchte und LED Modul Leuchtmittel.Dank des wechselbaren LED Modul ist es umweltfreundlich, die Leuchtmittel ohne Ersetzung des kompletten Set auszutauschen.

【SCHWENKBAR】-Nutzen Sie die Strahler als schlichte Beleuchtung oder richten Sie mit dem 30° Schwenkwinkel den Lichtfokus gezielt auf einzelne Objekte oder Bereiche im Raum.Geeignet für Schlafzimmer, Küchen, Restaurants, Geschäftund Büro.

【BREITE ANWENDBARKEIT】-Extra Flach & ein schlichtes Design verbunden mit dem mitgelieferten LED Modul,perfekt in Ihren Flur, Diele, Deckenleuchte, Wohnzimmer, Schlafzimmer oder Ihre Küche.Gerade mehrere Spotleuchten nebeneinander ergeben ein wunderschönes Beleuchtungsbild.

【HOHE QUALITÄTSGARANTIE】-Ein Farbwiedergabewert von CRI>80 verspricht natürliche Farben direkt nach dem Einschalten.Geringer Verbrauch bei wohlig warmen Licht durch eine Farbtemperatur von 3.000 Kelvin.Verhältnis-Hergestellt aus hochwertigem Aluminiummaterial, hochwertiger Wärmeableitungseffekt, verlängert die Lebensdauer von Aufbauleuchte Aufbaustrahler.",KYOTECH,KYOTECH Light,Besuche den KYOTECH,,8l x 5b x 0.5h cm,230 g,,2020-05-12,0.0,0.0,False
27,B0BTDBWWLR,https://m.media-amazon.com/images/I/514APD-o4zL._AC_UL320_.jpg,"Ikodm LED Deckenstrahler, Deckenleuchte 3-flammig GU10 4W Warmweiß 3000K Strahler Schwenkbar, Spotleuchte Drehbar Deckenspots für Küche, Schlafzimmer, Wohnzimmer(mit Leuchtmittel)","Beleuchtung: 8651
Deckenspots: 206",EUR,25.99,5.0,1.0,,,"💡【Austauschbare Leuchtmittel】Der Deckenstrahler verfügt über eine GU10-Fassung für LEDs mit maximal 4 Watt, die Lampe ist austauschbar und jeder Lampenschirm enthält eine Lampe (LED GU10 4W 3000K warmweiß), die dem Raum Eleganz und Ruhe verleiht.

💡【Vielseitigkeit】Das einfache Design dieses Strahlers eignet sich sehr gut als Akzentlampe oder Wohnzimmerlampe. Dank seines praktischen Schwenk- und Drehmechanismus kann er als Wandleuchte, Deckenlampe und andere Beleuchtungsanwendungen verwendet werden.

💡【Einfach zu montieren】Das Leuchtmittel ist ab Werk bereit und kann problemlos angeschlossen werden. Mit der GU10-Fassung können Sie die Lampe schnell und einfach austauschen.

💡【Starke Flexibilität】Der Lampenkopf des Deckenstrahlers kann um 360 Grad gedreht und 90 Grad gekippt werden. Drehen Sie den Lampenkopf einfach in die gewünschte Richtung, um ihn an den gewünschten Winkel und die gewünschte Atmosphäre anzupassen. Sie können Ihren eigenen Beleuchtungsfokus einstellen und für eine individuelle Beleuchtung gibt es keine Begrenzung.

💡【Weit verbreitet】Das einfache Design der Spotlampe ist perfekt für jedes Wohnzimmer, egal ob es sich um ein Wohnzimmer, ein Esszimmer, einen Flur, ein Badezimmer, ein Schlafzimmer, ein Kinderzimmer oder einen Keller handelt.",Ikodm,Golden-EUage,Besuche den Ikodm,,47.5l x 11b x 7.5h cm,,,2023-01-30,0.0,0.0,False
28,B09KGZ96VZ,https://m.media-amazon.com/images/I/312tF2QBhfL._AC_UL320_.jpg,IMPTS LED Deckenlampe Deckenstrahler 2 flammig LED Sopt Lampe schwenbar Spotleuchte Weiß Wandleuchte mit 3W GU10 Mittelleuchte in warmweiß,"Beleuchtung: 20722
Deckenspots: 518",EUR,20.99,4.7,10.0,,,"Diese LED Deckenlampe fügt sich mit ihrem schlichten Design in jeden Wohnraum optimal ein.

Durch die beweglichen Spots (360° drehbar und 90° schwenkbar) können Sie Ihre Zimmer optimal ausleuchten.

Die Strahler sind einfach zu installieren. Es gibt zwei Installationsmethoden: Die Strahler und Deckenleuchten können als Wand- und Deckenleuchten verwendet werden. Nicht einfach zu verblassen, Korrosionsbeständigkeit, Konfigurations- und Installationsanleitung

Unsere Deckenlampe kommt mit 250 Lumen pro Spot bzw. 3 Watt pro Spot zu Ihnen und sorgt somit für eine gleichmäßige. Lichtverteilung.Die Lichtquelle leuchtet mit 3.000 Kelvin warmweiß. Eine Lebensdauer von 30.000 Stunden der mitgelieferten Leuchtmittel (GU10), mit je 3 Watt, verspricht lange Freude an diesem Produkt.

𝐋𝐢𝐞𝐟𝐞𝐫𝐮𝐦𝐟𝐚𝐧𝐠: 1 x LED Deckenleuchte 2-flammig, 2 x 3 Watt GU10 Leuchtmittel, Montagematerial",IMPTS,Easy-E-SHOP,Besuche den IMPTS,,29.4 x 11.4 x 9.8 cm,610 g,,2021-10-27,0.0,0.0,False
29,B08D9FYF2X,https://m.media-amazon.com/images/I/61VFx3sgnwL._AC_UL320_.jpg,"Briloner Leuchten - Spotleuchte, Deckenspot retro, Deckenleuchte vintage, Spots dreh- und schwenkbar, 3x GU10, Metall-Holz, Schwarz, 473x90x143mm (LxBxH)","Beleuchtung: 20813
Deckenspots: 521",EUR,44.95,4.1,32.0,,,"Diese schwarze Spotlampe in ihrem schlichten retro/vintage Design fügt sich optimal in alle Räumlichkeiten ein und wird durch die schwarze, edle Optik in Kombination mit der Holzbasis schnell zu einem Blickfang

Durch die dreh- und schwenkbaren Spotköpfe lässt sich das Licht individuell steuern - der Deckenspot ist zudem vielseitig einsetzbar, z.B. als Wohnzimmerleuchte, Schlafzimmerleuchte oder Flurleuchte

Der Spotbalken verfügt über drei GU10 Fassungen - die Leuchtmittel sind nicht im Lieferumfang enthalten

Die Deckenlampe besitzt die Schutzart IP20 und ist ausschließlich für den Einsatz im Innenbereich vorgesehen

Produktabmessungen: 473x90x143mm (LxBxH)",BRILONER,,Besuche den BRILONER,,47.3 x 9 x 14.3 cm,610 g,,2020-07-20,,1.0,False
30,B09CTP1B5K,https://m.media-amazon.com/images/I/61PbFeeGndL._AC_UL320_.jpg,"LED Deckenleuchte 3 flammig Deckenstrahler aus Metall schwarz Retro Deckenlampe, E14 Fassung Deckenspot Wohnzimmer Küche Spotleuchte(ohne Glühbirne)","Beleuchtung: 2917
Deckenspots: 63",EUR,38.99,4.5,299.0,,,"【Moderner Deckenstrahler 3 flammig】Diese 3-flammig Deckenleuchte schwarz besteht aus Metall mit einem elegant geschwungenen Lichtmast und einem schwarzen geometrischen Retro-Schirm für eine stilvolle Kunstatmosphäre

【Standard E14 Sockel】LED Deckenleuchte ist mit einer E14 Fassung ausgestattet，die maximale Wattzahl überschreitet 40 Watt nicht. Sie können alle Glühlampen, die für den E14-Sockel geeignet sind, nach Bedarf installieren.

【Rostfreies Matt Schwarz Design】Die Oberfläche dieser Deckenspots ist mit schwarzer Sprühfarbe beschichtet, die eine Rostschutzfunktion hat. Die Lampenschirme in Gitteroptik haben die Form eines stilisierten Diamanten.

【Einfach zu installieren】Der Deckenstrahler kann einfach in Ihrem Raum installiert werden. Verbinden Sie einfach den Draht mit den Kräften und schrauben Sie den Lampenschirm und die Glühbirne an die Halterung für die Beleuchtung.

【Breite Anwendung】Moderne industrielle Deckenleuchte ist für alle Arten von Szenenbeleuchtung geeignet, wie Küche, Wohnzimmer, Esszimmer, Flur, Schlafzimmer usw.",Mchoter,zxx-de,,,1 x 1 x 1 cm,1.02 kilogramm,,2021-10-05,0.0,0.0,False
31,B08D9FH1GC,https://m.media-amazon.com/images/I/61txw+QJiZL._AC_UL320_.jpg,"BRILONER Leuchten - Spotleuchte, Deckenspot retro, Deckenleuchte vintage, Spots dreh- und schwenkbar, 3x E14, max. 25 Watt, Metall-Holz, Schwarz-Gold, 500x110x157mm (LxBxA)","Beleuchtung: 7445
Deckenspots: 175",EUR,77.95,4.5,65.0,,,"Diese schwarze Spotlampe in ihrem schlichten retro/vintage Design fügt sich optimal in alle Räumlichkeiten ein und wird durch die schwarz-goldene, edle Optik in Kombination mit der Holzbasis schnell zu einem Blickfang

Durch die dreh- und schwenkbaren Spotköpfe lässt sich das Licht individuell steuern - der Deckenspot ist zudem vielseitig einsetzbar, z.B. als Wohnzimmerleuchte, Schlafzimmerleuchte oder Flurleuchte

Die maximale Wattage für die Lampe beträgt max. 25 Watt (3x E14-Fassung) - die Leuchtmittel sind nicht im Lieferumfang enthalten

Die Deckenlampe besitzt die Schutzart IP20 und ist ausschließlich für den Einsatz im Innenbereich vorgesehen

Produktabmessungen: 500x110x157mm (LxBxA)",BRILONER,Nordlicht,Besuche den BRILONER,,50 x 11 x 15.7 cm,1.05 kilogramm,,2020-07-20,0.0,1.0,False
32,B09C3MXH6Q,https://m.media-amazon.com/images/I/71JLcS5FKrL._AC_UL320_.jpg,"Philips Hue White Amb. LED 2-er Spotleuchte Runner inkl. Dimmschalter, schwarz, dimmbar, alle Weißschattierungen, steuerbar via App, kompatibel mit Amazon Alexa (Echo, Echo Dot)","Baumarkt: 45818
Elektroinstallation (Baumarkt): 6910",EUR,124.45,4.5,10.0,13.0,0.0,"Einfache Einrichtung per Bluetooth: Hue Spotleuchte mit auswechselbarem Leuchtmittel anbringen, Hue Bluetooth App downloaden und schon können Sie Ihr Licht in einem Raum steuern oder Lichtszenen einstellen.

Für die Bedienung im gesamten Zuhause: Erweitern Sie Ihr System mit der Hue Bridge (separat erhältlich) und erleben Sie das volle Smart-Home-Erlebnis mit zahlreichen Funktionen.

Personalisierte Beleuchtung: Wählen Sie aus den verschiedensten Weißtönen, vom kühlen bis warmen Licht, um so einem Raum das gewünschte Ambiente zu verleihen.

Flexible Lichtsteuerung: Für stufenloses und komfortables Dimmen, nutzen Sie den mitgelieferten Dimmschalter als Lichtschalter oder auch als abnehmbare Fernbedienung.

Die intelligente Bluetooth-Beleuchtung von Philips Hue ist kompatibel mit dem Amazon Echo Dot (3.Generation), Echo Plus und Echo Show (2.Generation).",Philips Hue,,Besuche den Philips Hue,,8.9 x 30.5 x 10.9 cm,960 g,,2021-08-31,,1.0,False
33,B085DWSDCZ,https://m.media-amazon.com/images/I/51P0vO4x7WL._AC_UL320_.jpg,ledmo 4 Stücke LED Wandleuchte 12W Innen/Außen Wandlampe Warmweiß 2800-3000K Aussenlampe Mit Einstellbar Abstrahlwinkel LED Wandbeleuchtung IP65,"Beleuchtung: 8329
Außenwandleuchten: 355",EUR,89.99,4.3,1001.0,,,"Einstellbares Strahldesign für obere und untere Beleuchtung. Der obere und untere Abstrahlwinkel der Wandleuchte kann separat eingestellt werden, und es können verschiedene Lichtformen erzeugt werden, was eine perfekte Wahl für die Lichtdekoration darstellt.

Warmweißes Licht 3000K. Die Erscheinungsfarbe der 12-W-LED-Wandleuchte im 4er-Pack ist schwarz, und die warme LED-Wandleuchte bietet eine warme und komfortable Atmosphäre für Ihr Zuhause.

Wasserdicht IP65. Wandlampe Aussens Schutzart ist IP65, hochwertiges Aluminiumgehäuse, gute Lackierung macht das Äußere wasserdicht und staubdicht und der LED-Treiber hat die Funktion, Kurzschlüsse zu verhindern. Sie können es sicher im Freien verwenden.

Sehr gut geeignet für Wohnzimmer, Schlafzimmer, Küche, Flur, Treppe, Restaurant, Hotel, Balkon, Flur, Außenhof, Terrasse, Garten, Villa, Café und andere Orte.",ledmo,ezon europe,Besuche den ledmo,,10 x 10 x 10 cm,2.35 kg,,2020-03-02,0.0,1.0,False
34,B088S1YPM3,https://m.media-amazon.com/images/I/61a4zMY7JjL._AC_UL320_.jpg,"Philips Hue White & Color Ambiance Centris 3 flg. Spotleuchte weiß 2170lm, dimmbar, 16 Mio. Farben, steuerbar via App, kompatibel mit Amazon Alexa (Echo, Echo Dot)","Beleuchtung: 29412
Wandspots: 122",EUR,379.99,4.8,51.0,,,"Einfache Einrichtung per Bluetooth: Hue Spotleuchte anbringen, Hue App downloaden und schon können Sie Ihr Licht in einem Raum steuern oder Lichtszenen einstellen

Für die Bedienung im gesamten Zuhause: Erweitern Sie Ihr System mit der Hue Bridge und erleben Sie das volle Smart-Home-Erlebnis mit zahlreichen Funktionen

Personalisierte Beleuchtung: Wählen Sie aus 16 Mio. Farben oder verschiedensten Weißtönen, vom kühlen bis warmen Licht, um so einem Raum die gewünschte Farbe zu verleihen

Dekorative Beleuchtung für jeden Anlass: Ob Dinnerparty oder entspannten Tagesausklang, mit Philips Hue schaffen Sie die perfekte Raumatmosphäre

Intelligente Beleuchtung: Philips Hue ist kompatibel mit dem Amazon Echo Dot (3.Generation), Echo Plus und Echo Show (2.Generation)

Leuchte mit teilweise wechselbarem Leuchmittel: Bei diesem Produkt lässt sich der Spot wechseln, die Lightbar ist fest verbaut. Für den Spot liegt ein EEL-Label vor.",Philips Hue,,Besuche den Philips Hue,,38.98 x 3.35 x 5 cm,2 g,,2020-06-16,,1.0,False
